# CSV-File created with merge-csv.com
# -----------------------------------------------------------

Genotype,Age,Strain,Perturbation type,Data type,Data source,Source,Comments
bcat-1,ift-74
bcat-1,c08g5.7
bcat-1,c35e7.4
bcat-1,c35e7.2
bcat-1,f22b7.1
bcat-1,y39g10ar.11
bcat-1,gcy-33
bcat-1,y73f8a.5
bcat-1,f52b10.3
bcat-1,hst-3.2
bcat-1,cah-6
bcat-1,best-3
bcat-1,d2096.6
bcat-1,eat-16
bcat-1,glb-25
bcat-1,f27c1.11
bcat-1,pros-1
bcat-1,ceh-27
bcat-1,dys-1
bcat-1,eat-4
bcat-1,f32h2.11
bcat-1,f10g8.2
bcat-1,k08e7.6
bcat-1,e02h9.6
bcat-1,vab-23
bcat-1,fozi-1
bcat-1,arrd-6
bcat-1,arl-6
bcat-1,col-91
bcat-1,col-89
bcat-1,sqt-1
bcat-1,sqt-2
bcat-1,w06f12.2
bcat-1,flp-27
bcat-1,ser-2
bcat-1,r10e11.5
bcat-1,lrch-1
bcat-1,acy-2
bcat-1,act-4
bcat-1,kin-1
bcat-1,f34d10.6
bcat-1,f40h3.3
bcat-1,slo-1
bcat-1,f35c5.11
bcat-1,c06a8.8
bcat-1,f35h12.1
bcat-1,f35h12.7
bcat-1,mam-2
bcat-1,tmc-2
bcat-1,dep-1
bcat-1,f52c9.5
bcat-1,tag-278
bcat-1,lgc-41
bcat-1,t01d1.8
bcat-1,b0507.3
bcat-1,b0507.6
bcat-1,t12a7.2
bcat-1,mec-1
bcat-1,mec-2
bcat-1,mnp-1
bcat-1,nstp-3
bcat-1,twk-8
bcat-1,twk-11
bcat-1,twk-13
bcat-1,twk-14
bcat-1,glb-32
bcat-1,w01a8.6
bcat-1,tiar-3
bcat-1,dcar-1
bcat-1,c53d6.11
bcat-1,ubc-17
bcat-1,grl-16
bcat-1,y53f4b.20
bcat-1,t27c4.1
bcat-1,fbxa-137
bcat-1,madd-2
bcat-1,gcy-32
bcat-1,mlt-10
bcat-1,c35d10.12
bcat-1,clc-5
bcat-1,hum-6
bcat-1,hst-3.1
bcat-1,rol-6
bcat-1,frpr-18
bcat-1,ltd-1
bcat-1,col-157
bcat-1,shn-1
bcat-1,tag-68
bcat-1,r03h10.2
bcat-1,cat-1
bcat-1,dsl-6
bcat-1,stn-2
bcat-1,ceh-31
bcat-1,nphp-4
bcat-1,gcy-20
bcat-1,mam-8
bcat-1,cwn-2
bcat-1,cwn-1
bcat-1,arl-3
bcat-1,col-97
bcat-1,col-105
bcat-1,col-104
bcat-1,k06a4.2
bcat-1,cutl-15
bcat-1,hex-2
bcat-1,r11.2
bcat-1,abu-11
bcat-1,acy-3
bcat-1,mam-1
bcat-1,rig-1
bcat-1,sdz-8
bcat-1,bro-1
bcat-1,del-3
bcat-1,tag-180
bcat-1,mpz-1
bcat-1,glb-16
bcat-1,lron-15
bcat-1,f35h10.3
bcat-1,y38h6c.14
bcat-1,f45b8.3
bcat-1,c18h2.1
bcat-1,maph-1.1
bcat-1,f36h9.7
bcat-1,abu-14
bcat-1,c02e7.7
bcat-1,noah-2
bcat-1,sup-1
bcat-1,nlr-1
bcat-1,y102a11a.7
bcat-1,nac-1
bcat-1,nab-1
bcat-1,lron-13
bcat-1,f49e10.2
bcat-1,let-805
bcat-1,mec-7
bcat-1,mec-6
bcat-1,ser-3
bcat-1,mec-10
bcat-1,e01g6.2
bcat-1,daf-12
bcat-1,w06h8.6
bcat-1,f15b9.8
bcat-1,y106g6g.2
bcat-1,set-11
bcat-1,y106g6g.6
bcat-1,glb-27
bcat-1,vab-10
bcat-1,vab-3
bcat-1,frpr-13
bcat-1,cysl-1
bcat-1,lron-2
bcat-1,inx-12
bcat-1,c09f9.2
bcat-1,w03g9.7
bcat-1,twk-17
bcat-1,f28e10.1
bcat-1,ckk-1
bcat-1,ssr-2
bcat-1,glb-4
bcat-1,k08d12.4
bcat-1,t20f5.4
bcat-1,rpi-2
bcat-1,srab-14
bcat-1,r11f4.2
bcat-1,d1014.5
bcat-1,t19a5.3
bcat-1,cutl-21
bcat-1,dyf-1
bcat-1,f39b2.8
bcat-1,kcnl-4
bcat-1,glc-3
bcat-1,r08a2.5
bcat-1,col-69
bcat-1,col-71
bcat-1,col-65
bcat-1,hot-7
bcat-1,f55d10.4
bcat-1,tag-234
bcat-1,egl-38
bcat-1,f54e4.3
bcat-1,ugt-59
bcat-1,k03h1.5
bcat-1,aex-3
bcat-1,f13d2.1
bcat-1,adt-1
bcat-1,f13b12.4
bcat-1,wbgene00008738
bcat-1,f41c3.6
bcat-1,bbs-2
bcat-1,bbs-8
bcat-1,nep-26
bcat-1,y47h10a.4
bcat-1,grh-1
bcat-1,t06d8.3
bcat-1,f41e6.11
bcat-1,nhr-213
bcat-1,tag-297
bcat-1,mlt-9
bcat-1,f09b12.3
bcat-1,rga-6
bcat-1,rgs-6
bcat-1,c03h5.6
bcat-1,c06e7.2
bcat-1,t27a10.6
bcat-1,lgc-31
bcat-1,d1053.3
bcat-1,cutl-8
bcat-1,zk287.1
bcat-1,c03a3.1
bcat-1,c02f4.4
bcat-1,jud-4
bcat-1,lron-3
bcat-1,y6b3b.1
bcat-1,t04f8.9
bcat-1,ham-2
bcat-1,nas-7
bcat-1,f58e6.13
bcat-1,c08h9.1
bcat-1,cutl-2
bcat-1,ugt-13
bcat-1,h24g06.1
bcat-1,c24b5.1
bcat-1,bbs-1
bcat-1,tph-1
bcat-1,c38c5.1
bcat-1,y32g9b.1
bcat-1,dop-1
bcat-1,nphp-2
bcat-1,grd-10
bcat-1,grd-6
bcat-1,grd-1
bcat-1,cfi-1
bcat-1,fmo-4
bcat-1,lgc-20
bcat-1,pag-3
bcat-1,tmc-1
bcat-1,h36l18.1
bcat-1,col-77
bcat-1,dex-1
bcat-1,npax-2
bcat-1,ptp-4
bcat-1,f13a7.12
bcat-1,nhr-183
bcat-1,srd-32
bcat-1,t23f6.5
bcat-1,f45e1.1
bcat-1,tag-80
bcat-1,sulp-3
bcat-1,cah-2
bcat-1,c14a11.2
bcat-1,f48e3.9
bcat-1,c13f10.1
bcat-1,cdkl-1
bcat-1,rom-2
bcat-1,lact-8
bcat-1,pqn-74
bcat-1,ztf-30
bcat-1,mks-3
bcat-1,f53b1.4
bcat-1,qua-1
bcat-1,shw-3
bcat-1,f15h10.8
bcat-1,nas-13
bcat-1,c18d11.1
bcat-1,c31h5.5
bcat-1,lam-3
bcat-1,zig-10
bcat-1,tni-1
bcat-1,k09f5.6
bcat-1,ddr-2
bcat-1,f11d5.1
bcat-1,lgc-38
bcat-1,ifp-1
bcat-1,c11e4.6
bcat-1,gpb-2
bcat-1,arrd-16
bcat-1,t05b11.7
bcat-1,cutl-26
bcat-1,casy-1
bcat-1,cdh-9
bcat-1,rsbp-1
bcat-1,oac-51
bcat-1,w03b1.1
bcat-1,w03b1.3
bcat-1,t26c12.3
bcat-1,nlf-1
bcat-1,abu-8
bcat-1,unc-3
bcat-1,k07c11.10
bcat-1,nekl-4
bcat-1,dpy-13
bcat-1,r08c7.4
bcat-1,atf-2
bcat-1,dpy-10
bcat-1,atgp-1
bcat-1,atgp-2
bcat-1,col-170
bcat-1,f11c1.4
bcat-1,t23f1.5
bcat-1,t06g6.6
bcat-1,lips-7
bcat-1,ugt-55
bcat-1,nphp-1
bcat-1,t02e1.8
bcat-1,f10g8.8
bcat-1,tbc-16
bcat-1,amx-2
bcat-1,ric-3
bcat-1,c06e4.2
bcat-1,nhr-147
bcat-1,nhr-149
bcat-1,sol-2
bcat-1,wbgene00045409
bcat-1,f22b5.4
bcat-1,jkk-1
bcat-1,4r79.2
bcat-1,y75b8a.6
bcat-1,inpp-1
bcat-1,t13h10.2
bcat-1,oac-46
bcat-1,y72a10a.1
bcat-1,zig-8
bcat-1,zk1055.4
bcat-1,t28d6.4
bcat-1,unc-96
bcat-1,c54g4.4
bcat-1,zc15.3
bcat-1,c18e9.7
bcat-1,c24h10.3
bcat-1,c30b5.6
bcat-1,dpy-8
bcat-1,c30a5.10
bcat-1,y40c5a.3
bcat-1,r07g3.8
bcat-1,y81g3a.4
bcat-1,f11e6.8
bcat-1,c34d4.1
bcat-1,c34b2.11
bcat-1,wrt-6
bcat-1,wrt-8
bcat-1,t19c3.3
bcat-1,t19c3.2
bcat-1,lite-1
bcat-1,gst-35
bcat-1,gst-40
bcat-1,lmd-5
bcat-1,dpy-9
bcat-1,prkl-1
bcat-1,c54h2.4
bcat-1,ifta-1
bcat-1,ast-1
bcat-1,lge-1
bcat-1,tiam-1
bcat-1,f13e9.14
bcat-1,avr-14
bcat-1,rgef-1
bcat-1,lron-9
bcat-1,ceh-53
bcat-1,ncx-4
bcat-1,f35d2.3
bcat-1,rbf-1
bcat-1,t26a8.2
bcat-1,abu-13
bcat-1,cdh-8
bcat-1,c05d10.2
bcat-1,sox-3
bcat-1,bbs-5
bcat-1,r90.1
bcat-1,ptr-9
bcat-1,ptr-5
bcat-1,ptr-15
bcat-1,zk328.7
bcat-1,lron-1
bcat-1,wbgene00015274
bcat-1,t13h5.1
bcat-1,ctg-2
bcat-1,nhr-218
bcat-1,t07g12.3
bcat-1,bus-19
bcat-1,clec-42
bcat-1,c17e4.1
bcat-1,unc-115
bcat-1,k05f1.1
bcat-1,glf-1
bcat-1,ifta-2
bcat-1,unc-103
bcat-1,k05f1.6
bcat-1,npr-29
bcat-1,fbxa-167
bcat-1,cdh-12
bcat-1,y4c6b.2
bcat-1,y105e8a.1
bcat-1,lec-3
bcat-1,eva-1
bcat-1,ida-1
bcat-1,dpy-3
bcat-1,zc15.1
bcat-1,dpy-6
bcat-1,flp-34
bcat-1,odr-2
bcat-1,wrt-1
bcat-1,wrt-2
bcat-1,fbxc-51
bcat-1,gpa-18
bcat-1,f20d6.10
bcat-1,col-107
bcat-1,col-109
bcat-1,col-110
bcat-1,col-111
bcat-1,col-113
bcat-1,gcy-8
bcat-1,dre-1
bcat-1,lntl-1
bcat-1,col-186
bcat-1,t05a7.7
bcat-1,abu-10
bcat-1,f35d2.2
bcat-1,c05g5.3
bcat-1,clec-78
bcat-1,c05e7.1
bcat-1,c16h3.3
bcat-1,sox-2
bcat-1,mig-39
bcat-1,sol-1
bcat-1,sprr-1
bcat-1,r07e3.2
bcat-1,cut-5
bcat-1,f48f5.6
bcat-1,f36f12.1
bcat-1,ptr-17
bcat-1,ptr-16
bcat-1,ptr-18
bcat-1,f48c5.2
bcat-1,igeg-2
bcat-1,zk154.1
bcat-1,t26c5.2
bcat-1,y67a10a.7
bcat-1,y41d4b.6
bcat-1,unc-75
bcat-1,t08g11.3
bcat-1,h03e18.1
bcat-1,ift-20
bcat-1,c05a9.2
bcat-1,c30g7.2
bcat-1,c35c5.10
bcat-1,ifa-3
bcat-1,gon-1
bcat-1,r74.2
bcat-1,zag-1
bcat-1,marc-5
bcat-1,c26b9.6
bcat-1,c24a8.6
bcat-1,k03e6.7
bcat-1,t14b4.8
bcat-1,t22e5.6
bcat-1,unc-83
bcat-1,f07c3.2
bcat-1,t02g5.3
bcat-1,wbgene00020162
bcat-1,fhod-1
bcat-1,cutl-23
bcat-1,rga-5
bcat-1,unc-86
bcat-1,f01g10.9
bcat-1,clec-180
bcat-1,zk180.6
bcat-1,zk829.3
bcat-1,e01g6.1
bcat-1,phat-4
bcat-1,col-176
bcat-1,col-172
bcat-1,col-174
bcat-1,col-168
bcat-1,f57a8.1
bcat-1,f25b4.8
bcat-1,col-116
bcat-1,f57f5.3
bcat-1,f57c7.4
bcat-1,unc-53
bcat-1,lips-3
bcat-1,f57b7.2
bcat-1,ajm-1
bcat-1,f23h12.5
bcat-1,c07f11.2
bcat-1,y47d3b.1
bcat-1,f14b6.2
bcat-1,c11h1.9
bcat-1,f43g6.4
bcat-1,zk180.5
bcat-1,rpl-11.2
bcat-1,k01a2.5
bcat-1,cpx-1
bcat-1,c36b7.5
bcat-1,f38b6.6
bcat-1,y15e3a.4
bcat-1,h08j11.2
bcat-1,lin-17
bcat-1,lin-14
bcat-1,c02b4.4
bcat-1,unc-52
bcat-1,daf-38
bcat-1,unc-49
bcat-1,kcc-3
bcat-1,f18a11.2
bcat-1,dop-6
bcat-1,zk682.7
bcat-1,nhr-45
bcat-1,c14a4.12
bcat-1,c27b7.7
bcat-1,glb-24
bcat-1,c27a2.8
bcat-1,xbx-1
bcat-1,ddr-1
bcat-1,c25f6.7
bcat-1,y9c9a.8
bcat-1,kin-9
bcat-1,nhr-163
bcat-1,grl-15
bcat-1,fkb-4
bcat-1,fkb-3
bcat-1,r02e12.4
bcat-1,nhr-139
bcat-1,syd-1
bcat-1,zc13.2
bcat-1,syg-1
bcat-1,sym-2
bcat-1,col-145
bcat-1,nhr-270
bcat-1,bbs-9
bcat-1,f59f5.3
bcat-1,f59f5.5
bcat-1,c56c10.4
bcat-1,agr-1
bcat-1,gap-1
bcat-1,f32b5.7
bcat-1,gar-3
bcat-1,f16b4.5
bcat-1,k01b6.3
bcat-1,dyf-19
bcat-1,y9c12a.1
bcat-1,hlb-1
bcat-1,lgc-47
bcat-1,acr-24
bcat-1,aqp-2
bcat-1,rdy-2
bcat-1,skpo-2
bcat-1,t19c4.1
bcat-1,snt-3
bcat-1,ptr-4
bcat-1,ptl-1
bcat-1,f53b3.3
bcat-1,y55d5a.1
bcat-1,f56f10.2
bcat-1,y97e10ar.1
bcat-1,slc-17.1
bcat-1,srsx-36
bcat-1,f49e2.5
bcat-1,seb-3
bcat-1,shl-1
bcat-1,m02g9.1
bcat-1,pqn-18
bcat-1,nhr-85
bcat-1,ceh-48
bcat-1,f29a7.4
bcat-1,mab-5
bcat-1,lim-4
bcat-1,r148.5
bcat-1,lim-7
bcat-1,t20f10.5
bcat-1,npr-23
bcat-1,f07h5.8
bcat-1,trpa-1
bcat-1,c29a12.6
bcat-1,ggr-3
bcat-1,lrp-1
bcat-1,clc-2
bcat-1,unc-41
bcat-1,unc-36
bcat-1,unc-42
bcat-1,zc443.2
bcat-1,h10e21.5
bcat-1,c23h3.9
bcat-1,w05b5.1
bcat-1,h10e21.4
bcat-1,r05g9r.1
bcat-1,hot-2
bcat-1,twk-35
bcat-1,y51h4a.1
bcat-1,w06f12.3
bcat-1,abhd-14
bcat-1,f45e1.5
bcat-1,kal-1
bcat-1,c09g1.4
bcat-1,egl-17
bcat-1,egl-19
bcat-1,ctbp-1
bcat-1,asd-2
bcat-1,gsa-1
bcat-1,cdh-7
bcat-1,h11e01.3
bcat-1,vm106r.1
bcat-1,f01e11.3
bcat-1,f32b5.2
bcat-1,abch-1
bcat-1,ift-81
bcat-1,c56g2.4
bcat-1,daf-10
bcat-1,daf-6
bcat-1,col-173
bcat-1,c43h6.6
bcat-1,zk792.4
bcat-1,zk757.2
bcat-1,exc-7
bcat-1,efn-2
bcat-1,f25f8.1
bcat-1,f25e5.16
bcat-1,h03a11.2
bcat-1,col-167
bcat-1,slc-17.8
bcat-1,zk1073.2
bcat-1,zk1025.3
bcat-1,zk1010.8
bcat-1,f59f5.7
bcat-1,apt-9
bcat-1,c16d9.1
bcat-1,f29g6.2
bcat-1,col-169
bcat-1,dyf-18
bcat-1,gar-1
bcat-1,y41g9a.5
bcat-1,f53c3.6
bcat-1,r12e2.7
bcat-1,bcmo-2
bcat-1,qui-1
bcat-1,c08g9.1
bcat-1,f32d8.1
bcat-1,f32d8.3
bcat-1,dsl-7
bcat-1,pgp-10
bcat-1,f32d1.3
bcat-1,r06c1.6
bcat-1,t16g1.2
bcat-1,magu-3
bcat-1,f41e7.9
bcat-1,c02b10.3
bcat-1,ah9.6
bcat-1,t09f5.1
bcat-1,nhr-144
bcat-1,k02g10.5
bcat-1,y45f10a.7
bcat-1,klp-13
bcat-1,unc-30
bcat-1,unc-24
bcat-1,klp-11
bcat-1,y57g11c.22
bcat-1,hhat-2
bcat-1,m03e7.2
bcat-1,m03f4.6
bcat-1,c33d9.9
bcat-1,c33d9.6
bcat-1,y42a5a.1
bcat-1,y65b4bl.1
bcat-1,c06g1.6
bcat-1,dmsr-6
bcat-1,c27f2.1
bcat-1,c05e7.2
bcat-1,ncs-6
bcat-1,fbxc-41
bcat-1,f55d12.1
bcat-1,rga-2
bcat-1,r09e10.5
bcat-1,ugt-24
bcat-1,r07e4.1
bcat-1,t10b5.4
bcat-1,f13b6.1
bcat-1,sulp-1
bcat-1,t19d2.2
bcat-1,f31f7.2
bcat-1,gei-13
bcat-1,f56d2.3
bcat-1,f18e9.1
bcat-1,f54c8.6
bcat-1,dpy-5
bcat-1,col-146
bcat-1,che-2
bcat-1,che-3
bcat-1,egl-2
bcat-1,tsp-14
bcat-1,f59b10.4
bcat-1,f59c6.8
bcat-1,t01d3.3
bcat-1,sta-2
bcat-1,t01d3.1
bcat-1,col-48
bcat-1,f52e1.5
bcat-1,f38b7.2
bcat-1,cdh-3
bcat-1,snf-3
bcat-1,cyp-23a1
bcat-1,f44e2.4
bcat-1,mab-21
bcat-1,f09a5.2
bcat-1,gpa-7
bcat-1,f32d8.7
bcat-1,c08g9.2
bcat-1,pha-4
bcat-1,y57a10a.23
bcat-1,phg-1
bcat-1,b0034.4
bcat-1,b0034.1
bcat-1,f35b3.4
bcat-1,y39b6a.8
bcat-1,r07b1.6
bcat-1,y64g10a.7
bcat-1,f20g2.3
bcat-1,epac-1
bcat-1,nhr-15
bcat-1,zk813.5
bcat-1,f41e7.2
bcat-1,zk813.4
bcat-1,lgc-27
bcat-1,y64g10a.6
bcat-1,zc190.4
bcat-1,cyp-13a6
bcat-1,nhr-136
bcat-1,npr-3
bcat-1,sorb-1
bcat-1,zc487.1
bcat-1,zc513.2
bcat-1,kcnl-2
bcat-1,f36h2.5
bcat-1,unc-22
bcat-1,lpr-5
bcat-1,lpr-4
bcat-1,acbp-7
bcat-1,m03a8.3
bcat-1,k01a2.4
bcat-1,c34c6.3
bcat-1,oac-1
bcat-1,b0393.5
bcat-1,dbl-1
bcat-1,t04a8.18
bcat-1,glr-1
bcat-1,glr-2
bcat-1,c27a7.2
bcat-1,k02e10.6
bcat-1,lon-3
bcat-1,lgc-53
bcat-1,irk-1
bcat-1,f57b1.9
bcat-1,pbo-4
bcat-1,sue-1
bcat-1,y52b11a.4
bcat-1,y38a10a.2
bcat-1,ccb-1
bcat-1,gcy-15
bcat-1,f31e3.2
bcat-1,nsy-4
bcat-1,c55a6.6
bcat-1,f26c11.3
bcat-1,wrt-9
bcat-1,che-12
bcat-1,che-11
bcat-1,che-14
bcat-1,hhat-1
bcat-1,f58h1.5
bcat-1,unc-31
bcat-1,f59f4.1
bcat-1,t01b7.9
bcat-1,apl-1
bcat-1,col-58
bcat-1,col-54
bcat-1,col-56
bcat-1,f46g11.2
bcat-1,f46g11.1
bcat-1,r07e5.17
bcat-1,abu-12
bcat-1,f31d4.5
bcat-1,f08g5.3
bcat-1,r13h4.8
bcat-1,r17.3
bcat-1,ace-3
bcat-1,k09e9.4
bcat-1,c49f8.3
bcat-1,f13d12.8
bcat-1,f56h11.2
bcat-1,srj-14
bcat-1,h04m03.12
bcat-1,b0205.4
bcat-1,c06g1.5
bcat-1,c06g1.1
bcat-1,c06e7.4
bcat-1,f40f9.10
bcat-1,c44h9.5
bcat-1,col-147
bcat-1,f33g12.6
bcat-1,f53c3.4
bcat-1,d1053.4
bcat-1,y43f4a.1
bcat-1,cutl-11
bcat-1,t04f8.7
bcat-1,nhx-3
bcat-1,y45f10d.2
bcat-1,zc581.9
bcat-1,r13a5.10
bcat-1,zk470.1
bcat-1,c15a11.2
bcat-1,t03g11.3
bcat-1,ptd-2
bcat-1,bus-1
bcat-1,crp-1
bcat-1,c34c12.6
bcat-1,wbgene00020654
bcat-1,c40a11.6
bcat-1,b0252.1
bcat-1,k02e10.4
bcat-1,k10g6.4
bcat-1,unc-7
bcat-1,unc-2
bcat-1,r04a9.3
bcat-1,nlg-1
bcat-1,gst-31
bcat-1,r04b3.3
bcat-1,syg-2
bcat-1,jph-1
bcat-1,f09f9.4
bcat-1,f59b8.1
bcat-1,tctn-1
bcat-1,nhr-204
bcat-1,gcy-31
bcat-1,gcy-37
bcat-1,gcy-36
bcat-1,gcy-34
bcat-1,cmk-1
bcat-1,f59b10.2
bcat-1,slt-1
bcat-1,del-2
bcat-1,dgk-1
bcat-1,nmgp-1
bcat-1,f13h8.1
bcat-1,ztf-14
bcat-1,zk909.3
bcat-1,col-12
bcat-1,col-14
bcat-1,f59b2.9
bcat-1,exp-2
bcat-1,c15h9.2
bcat-1,f31c3.6
bcat-1,acr-8
bcat-1,f14b4.1
bcat-1,f33a8.7
bcat-1,f13b12.3
bcat-1,igcm-2
bcat-1,t14e8.4
bcat-1,wbgene00015571
bcat-1,b0361.4
bcat-1,dyla-1
bcat-1,ghi-1
bcat-1,zc123.1
bcat-1,mod-1
bcat-1,hum-9
bcat-1,lgx-1
bcat-1,y97e10c.1
bcat-1,t05a1.5
bcat-1,w05h12.1
bcat-1,magu-4
bcat-1,y57g11c.32
bcat-1,c34f6.1
bcat-1,zc449.1
bcat-1,zip-5
bcat-1,c04a11.1
bcat-1,c34e11.2
bcat-1,c34e7.4
bcat-1,calf-1
bcat-1,t19e7.6
bcat-1,max-1
bcat-1,b0198.3
bcat-1,tsp-20
bcat-1,hlh-1
bcat-1,mlt-8
bcat-1,c02e7.6
bcat-1,lgc-55
bcat-1,y54g11a.4
bcat-1,y17g7b.22
bcat-1,w08g11.1
bcat-1,y87g2a.19
bcat-1,catp-5
bcat-1,y23h5b.8
bcat-1,rhgf-1
bcat-1,grd-12
bcat-1,gbb-1
bcat-1,grd-16
bcat-1,tba-8
bcat-1,pdl-1
bcat-1,c07e3.10
bcat-1,f26e4.2
bcat-1,h42k12.3
bcat-1,c41a3.2
bcat-1,r05c11.4
bcat-1,ceh-30
bcat-1,k01a2.3
bcat-1,nas-38
bcat-1,f30h5.3
bcat-1,c35a11.2
bcat-1,cca-1
bcat-1,lpr-7
bcat-1,f26a10.2
bcat-1,dyf-5
bcat-1,dyf-11
bcat-1,dyf-13
bcat-1,f59b2.11
bcat-1,f59b2.8
bcat-1,e02a10.3
bcat-1,mks-6
bcat-1,f59b10.3
bcat-1,c50e3.6
bcat-1,f27d9.7
bcat-1,col-33
bcat-1,col-41
bcat-1,y75b7ar.1
bcat-1,f47b7.7
bcat-1,zk863.8
bcat-1,zk662.2
bcat-1,klp-3
bcat-1,acr-12
bcat-1,f33d4.6
bcat-1,y47a7.2
bcat-1,zk1290.1
bcat-1,c29g2.2
bcat-1,cut-2
bcat-1,t09b4.5
bcat-1,f40h7.12
bcat-1,c40a11.3
bcat-1,fbxb-100
bcat-1,r02d5.1
bcat-1,eeed8.18
bcat-1,dsl-3
bcat-1,cutl-25
bcat-1,f40g9.15
bcat-1,c40a11.10
bcat-1,y38h6c.16
bcat-1,scpl-3
bcat-1,y46g5a.7
bcat-1,fbxb-77
bcat-1,c46c11.4
bcat-1,bus-18
bcat-1,k09e3.7
bcat-1,r11g1.7
bcat-1,y82e9br.1
bcat-1,fbxb-115
bcat-1,f36h1.11
bcat-1,fbxa-222
bcat-1,w04h10.6
bcat-1,fbxb-78
bcat-1,ces-2
bcat-1,cyd-1
bcat-1,be0003n10.3
bcat-1,zip-7
bcat-1,t04b8.2
bcat-1,y71a12b.12
bcat-1,nspe-7
bcat-1,c40a11.2
bcat-1,c24h12.7
bcat-1,cutl-20
bcat-1,fbxb-93
bcat-1,f21d5.9
bcat-1,gld-4
bcat-1,set-19
bcat-1,mks-5
bcat-1,fbxb-88
bcat-1,y11d7a.19
bcat-1,fmi-1
bcat-1,t27f7.12
bcat-1,sup-26
bcat-1,c36b1.13
bcat-1,lin-41
bcat-1,igcm-4
bcat-1,f36h5.13
bcat-1,t21b4.3
bcat-1,pes-1
bcat-1,bus-4
bcat-1,y41d4a.3
bcat-1,zc132.4
bcat-1,hlh-3
bcat-1,w02f12.8
bcat-1,ins-34
bcat-1,t02g5.15
bcat-1,mks-2
bcat-1,tbb-4
bcat-1,f26a1.4
bcat-1,b0273.1
bcat-1,pfk-1.2
bcat-1,f23d12.11
bcat-1,acs-15
bcat-1,acbp-6
bcat-1,f22e5.8
bcat-1,c35e7.10
bcat-1,c09d4.3
bcat-1,c03f11.4
bcat-1,f07f6.2
bcat-1,k10c2.12
bcat-1,f53b2.5
bcat-1,m88.3
bcat-1,oac-50
bcat-1,f54f12.1
bcat-1,f57b9.8
bcat-1,c06a6.7
bcat-1,t10b5.8
bcat-1,t23b7.2
bcat-1,r12b2.3
bcat-1,rmd-6
bcat-1,f56b3.6
bcat-1,t03f6.6
bcat-1,f09c6.13
bcat-1,f09c6.12
bcat-1,c32c4.3
bcat-1,r01h2.4
bcat-1,w03d8.2
bcat-1,zc21.8
bcat-1,sdz-3
bcat-1,f14f7.4
bcat-1,c55c3.4
bcat-1,abf-6
bcat-1,nas-3
bcat-1,nhr-263
bcat-1,c08f8.6
bcat-1,k08h2.5
bcat-1,c50f4.10
bcat-1,t10b5.2
bcat-1,r09e10.1
bcat-1,ipla-5
bcat-1,t13f3.8
bcat-1,m05d6.3
bcat-1,m05d6.1
bcat-1,f31e8.5
bcat-1,d2024.1
bcat-1,c17h12.12
bcat-1,dhhc-13
bcat-1,c41a3.1
bcat-1,f43c9.1
bcat-1,f37a4.4
bcat-1,f14f9.6
bcat-1,y37e11al.4
bcat-1,d1022.9
bcat-1,w10c8.6
bcat-1,f02d8.5
bcat-1,hrg-4
bcat-1,f54h12.7
bcat-1,f54h12.8
bcat-1,tag-164
bcat-1,k06a1.2
bcat-1,t11b7.2
bcat-1,wago-10
bcat-1,c43g2.3
bcat-1,y54g9a.4
bcat-1,h06i04.5
bcat-1,f54d1.1
bcat-1,r148.7
bcat-1,f26d11.12
bcat-1,cpb-2
bcat-1,r08c7.8
bcat-1,f56d2.8
bcat-1,y113g7b.14
bcat-1,f35c11.3
bcat-1,fil-1
bcat-1,c02f5.5
bcat-1,zak-1
bcat-1,c33d9.5
bcat-1,f35d11.1
bcat-1,f20c5.5
bcat-1,gpa-8
bcat-1,oac-52
bcat-1,chil-18
bcat-1,col-13
bcat-1,col-143
bcat-1,sqst-1
bcat-1,w02d9.10
bcat-1,cyp-33c8
bcat-1,ugt-39
bcat-1,y77e11a.2
bcat-1,y19d10a.16
bcat-1,nhr-202
bcat-1,col-120
bcat-1,acl-12
bcat-1,col-60
bcat-1,asah-1
bcat-1,c54d1.7
bcat-1,nhr-17
bcat-1,nhr-155
bcat-1,nex-2
bcat-1,y68a4a.13
bcat-1,t28c12.4
bcat-1,c50f4.9
bcat-1,y39h10a.6
bcat-1,bah-1
bcat-1,pes-5
bcat-1,y47g6a.15
bcat-1,col-90
bcat-1,f56d5.4
bcat-1,b0205.13
bcat-1,h19m22.3
bcat-1,ceh-32
bcat-1,w05e10.5
bcat-1,let-653
bcat-1,r173.3
bcat-1,c25f9.11
bcat-1,trp-2
bcat-1,f56d5.3
bcat-1,c37e2.2
bcat-1,asns-1
bcat-1,pqn-54
bcat-1,c44h4.8
bcat-1,k02e11.10
bcat-1,f31f6.1
bcat-1,b0365.9
bcat-1,f49c5.11
bcat-1,t06e4.12
bcat-1,hrg-3
bcat-1,aat-2
bcat-1,c38c10.6
bcat-1,r05g6.9
bcat-1,hrg-1
bcat-1,zk1025.2
bcat-1,zk1025.8
bcat-1,nhr-73
bcat-1,c06a1.4
bcat-1,t26g10.7
bcat-1,abu-7
bcat-1,h05c05.4
bcat-1,f53f1.4
bcat-1,t23b3.6
bcat-1,nhr-113
bcat-1,ncr-1
bcat-1,bli-2
bcat-1,dhc-3
bcat-1,y50e8a.5
bcat-1,clec-89
bcat-1,zk792.7
bcat-1,zk287.9
bcat-1,pcp-3
bcat-1,srw-86
bcat-1,k01f9.2
bcat-1,y105c5a.2
