# CSV-File created with merge-csv.com
# -----------------------------------------------------------

Genotype,Age,Strain,Perturbation type,Data type,Data source,Source,Comments
dys-1,prmt-3
dys-1,pmt-1
dys-1,dnj-16
dys-1,prx-3
dys-1,t16g12.1
dys-1,mct-3
dys-1,sams-1
dys-1,t28f4.4
dys-1,nhr-145
dys-1,prx-10
dys-1,nrfl-1
dys-1,best-7
dys-1,pmp-1
dys-1,sptl-2
dys-1,ifc-2
dys-1,hsp-16.48
dys-1,hsp-16.49
dys-1,hsp-16.41
dys-1,f15e6.3
dys-1,cnc-7
dys-1,hsp-16.11
dys-1,hsp-16.1
dys-1,hsp-16.2
dys-1,f08h9.4
dys-1,c08e3.13
dys-1,nlp-29
dys-1,cpi-1
dys-1,h17b01.2
dys-1,t21b6.3
dys-1,f15e6.4
dys-1,tts-2
dys-1,nit-1
dys-1,gst-20
dys-1,cnc-4
dys-1,clec-222
dys-1,nlp-28
dys-1,y51h7c.3
dys-1,f54d12.4
dys-1,emc-1
dys-1,unc-89
dys-1,y51h7c.7
dys-1,glt-1
dys-1,zk813.1
dys-1,fgt-1
dys-1,k12h4.2
dys-1,y45f10c.2
dys-1,sdha-1
dys-1,ric-4
dys-1,t14b1.1
dys-1,y62h9a.3
dys-1,k07c11.7
dys-1,zk813.2
dys-1,lin-66
dys-1,sms-2
dys-1,daf-19
dys-1,lsy-2
dys-1,f54g2.1
dys-1,cogc-4
dys-1,idhb-1
dys-1,egl-3
dys-1,hecd-1
dys-1,grk-1
dys-1,sca-1
dys-1,y54g2a.26
dys-1,nduo-5
dys-1,chd-7
dys-1,lfi-1
dys-1,c53d5.1
dys-1,meg-4
dys-1,mec-17
dys-1,sli-1
dys-1,kin-2
dys-1,rgs-9
dys-1,lin-59
dys-1,c05b5.8
dys-1,m01a8.1
dys-1,zc373.2
dys-1,nhr-23
dys-1,gcn-2
dys-1,par-3
dys-1,ccpp-1
dys-1,y45g5am.9
dys-1,swan-1
zip-2,clec-47
zip-2,b0024.4
zip-2,clec-67
zip-2,f41d3.9
zip-2,c16e9.2
zip-2,f53a2.9
zip-2,y26d4a.10
zip-2,w04g5.10
zip-2,egl-5
zip-2,f47c12.8
zip-2,cht-1
zip-2,y48g9a.12
zip-2,f10c1.3
zip-2,vet-1
zip-2,f28h7.7
zip-2,f54b11.9
zip-2,f56a8.8
zip-2,nep-14
zip-2,srh-160
zip-2,c29f9.2
zip-2,zk993.2
zip-2,f23b2.10
zip-2,y105c5b.20
zip-2,y17d7b.5
zip-2,pes-2.2
zip-2,k01d12.10
zip-2,nhr-2
zip-2,r03a10.1
zip-2,cav-1
zip-2,f19b10.2
zip-2,eeed8.13
zip-2,str-23
zip-2,f09c8.1
zip-2,pes-2
zip-2,f30a10.4
zip-2,clec-73
zip-2,clec-79
zip-2,nlp-26
zip-2,b0280.17
zip-2,ssp-16
zip-2,f07f6.1
zip-2,k06a5.2
zip-2,zk550.5
zip-2,c34d4.3
zip-2,clec-69
zip-2,b0205.10
zip-2,c04f12.7
zip-2,ram-2
zip-2,ssp-34
zip-2,f32h2.7
zip-2,alg-4
zip-2,f52h3.6
zip-2,zk637.12
zip-2,c49a9.3
zip-2,gln-2
zip-2,y43f8c.5
zip-2,c24h10.4
